,0
1961-01-01,0.009691321629109398
1962-01-01,0.02437422288558355
1963-01-01,0.02283998518003925
1964-01-01,0.027068385444362974
1965-01-01,0.020243612602792425
1966-01-01,0.003816806236521273
1967-01-01,-0.004661440772925358
1968-01-01,0.013362963792724319
1969-01-01,-0.006590328982320412
1970-01-01,-0.002972146341927493
1971-01-01,0.022931631088411574
1972-01-01,0.022834435528095824
1973-01-01,0.0007328353737379253
1974-01-01,-0.013471153217924607
1975-01-01,-0.006686249679851567
1976-01-01,0.021224156332645808
1977-01-01,0.03485849946553014
1978-01-01,0.0036822511533942163
1979-01-01,-0.0023618446494273458
1980-01-01,-0.024416349141214676
1981-01-01,-0.009780120693323638
1982-01-01,-0.02830646646019213
1983-01-01,0.011070009587259526
1984-01-01,0.024036059973352557
1985-01-01,0.0064445261510971425
1986-01-01,0.026235741316046293
1987-01-01,0.0003768384814976342
1988-01-01,0.011393457776656454
1989-01-01,-0.0031355377234035535
1990-01-01,-0.008720169177928698
1991-01-01,-0.002962012704471414
1992-01-01,0.02858267485010755
1993-01-01,-0.007335889439955383
1994-01-01,0.015929014024260942
1995-01-01,-0.007925202100875524
1996-01-01,0.006097274583314413
1997-01-01,0.006614025889903312
1998-01-01,-0.0006021046540074055
1999-01-01,0.017903777580265724
2000-01-01,0.019973940805436127
2001-01-01,0.005307675804863717
2002-01-01,0.029214607659429733
2003-01-01,0.02332168972620156
2004-01-01,0.02341065039272447
2005-01-01,0.01258131193194794
