year,inner,outer
1960-01-01,-6.949802325814148e-06,0.0009382671047565884
1961-01-01,-8.880092777813274e-06,0.0006132345219301144
1962-01-01,-1.4617784805425317e-05,0.0007410782279935677
1963-01-01,-1.798739845738619e-05,0.000722082330713289
1964-01-01,-2.9028660952013668e-05,0.0006825485976767152
1965-01-01,-3.351947568139648e-05,0.0008054900755012657
1966-01-01,-3.083329320188716e-05,0.0007387640761981392
1967-01-01,-3.274279846452637e-05,0.0004910102858512542
1968-01-01,-3.7457404419524633e-05,0.000589138531065363
1969-01-01,-3.736639705683977e-05,0.0005927036546124007
1970-01-01,-4.280006205963511e-05,0.00029043936421336257
1971-01-01,-4.624884705232388e-05,0.0003733109799373656
1972-01-01,-4.2130939094362364e-05,0.0006374979108473306
1973-01-01,-2.554889614208032e-05,0.0008775320288054618
1974-01-01,1.698522475683886e-05,0.0014389299008049205
1975-01-01,2.6912445400576206e-05,0.0009681315676538706
1976-01-01,3.5613385479890995e-05,0.0011452037390076077
1977-01-01,3.4769145548160796e-05,0.0011974536095544375
1978-01-01,2.530370489075152e-05,0.0010148260281794812
1979-01-01,7.337474494447527e-05,0.0012258095525707249
1980-01-01,0.00016469813967371954,0.0013513896250609836
1981-01-01,0.00016215365186012605,0.001493419786147577
1982-01-01,0.00015468920567046607,0.0010281754004260527
1983-01-01,0.00010157408646082786,0.0005344578072144883
1984-01-01,8.444268989984477e-05,0.00042355958443036565
1985-01-01,4.517330470519572e-05,-0.00011786170704295405
1986-01-01,-3.3391380092930294e-05,-0.0007685452700612813
1987-01-01,-1.9115767677722764e-05,-0.0007053243004647158
1988-01-01,-3.045459883022685e-05,-0.0007349186321066164
1989-01-01,-3.081476912653779e-05,-0.0008226964665913536
1990-01-01,-2.1567159433899573e-05,-0.0008962528663687165
1991-01-01,-2.862534819357581e-05,-0.0011972514607458545
1992-01-01,-3.436407491576147e-05,-0.0011572931031002456
1993-01-01,-4.1597437063799474e-05,-0.0012091907306097764
1994-01-01,-4.5519128838630515e-05,-0.0011138969908749356
1995-01-01,-3.929122322125485e-05,-0.0009298236641688117
1996-01-01,-2.5081960593718378e-05,-0.0008085338761481143
1997-01-01,-2.305118906064372e-05,-0.000966888618573112
1998-01-01,-2.3342859815207566e-05,-0.0009265403247992725
1999-01-01,-1.1991454853827876e-05,-0.0008842387617044832
2000-01-01,1.3404406955997068e-05,-0.0007442639114581609
2001-01-01,-2.007613756825811e-05,-0.001196491653309038
2002-01-01,-3.939117996089932e-05,-0.0013696664479127246
2003-01-01,-3.488209168422718e-05,-0.0014828556664139934
2004-01-01,-2.5037046432716773e-05,-0.001438423321406191
2005-01-01,-5.387476392005144e-06,-0.0014434965172923867
